"Nom","Prenom","code_joueur","code_temoin","code_public","points_citoyen","points_academie","points_videos"
"","","Cigogne-Bricoleur-101","Coyote-Éveillé-101","Koala-Zen-101","0","0","0"
"","","Ibex-Calme-102","Macaque-Savoyard-102","Panda-Ninja-102","0","0","0"
"","","Ours-Clairvoyant-103","Loris-Protecteur-103","Loutre-Cosmique-103","0","0","0"
"","","Raton-Malin-104","Coyote-Curieux-104","Renard-Pixel-104","0","0","0"
"","","Hocco-Calme-105","Flamant-Positif-105","Tigre-Rigolo-105","0","0","0"
"","","Coyote-Inspiré-106","Dhole-Clairvoyant-106","Hibou-Gamer-106","0","0","0"
"","","Faucon-Calme-107","Colibri-Protecteur-107","Gecko-Disco-107","0","0","0"
"","","Manchot-Zélé-108","Gecko-Attentif-108","Chat-Solaire-108","0","0","0"
"","","Zèbre-Serein-109","Hibou-Éveillé-109","Loup-Ardent-109","0","0","0"
"","","Guépard-Responsable-110","Gecko-Joyeux-110","Poney-Turbo-110","0","0","0"
"","","Takin-Curieux-111","Dauphin-Savoyard-111","Aigle-Royal-111","0","0","0"
"","","Girafe-Créatif-112","Marmotte-Patient-112","Lion-Hero-112","0","0","0"
"","","Lamantin-Malin-113","Mouette-Courageux-113","Morse-Malicieux-113","0","0","0"
"","","Chinchilla-Bricoleur-114","Dauphin-Curieux-114","Cerf-Volant-114","0","0","0"
"","","Suricate-Optimiste-115","Mangouste-Rigoureux-115","Lynx-Éclair-115","0","0","0"
"","","Hérisson-Éthique-116","Canard-Explorateur-116","Poulpe-Magicien-116","0","0","0"
"","","Antilope-Zen-117","Wallaby-Calme-117","Faucon-Vif-117","0","0","0"
"","","Varan-Optimiste-118","Babouin-Calme-118","Ours-Polaire-118","0","0","0"
"","","Lama-Savoyard-119","Dauphin-Éveillé-119","Biche-Agile-119","0","0","0"
"","","Chamois-Éthique-120","Saïga-Éthique-120","Requin-Laser-120","0","0","0"
"","","Girafe-Responsable-121","Dingo-Éveillé-121","Hamster-Rapide-121","0","0","0"
"","","Zèbre-Zen-122","Marmotte-Attentif-122","Castor-Malin-122","0","0","0"
"","","Chinchilla-Solidaire-123","Saïga-Courageux-123","Phénix-Doré-123","0","0","0"
"","","Dauphin-Éveillé-124","Cigogne-Inspiré-124","Cobra-Vigilant-124","0","0","0"
"","","Narval-Vigilant-125","Putois-Bondissant-125","Pingouin-Cool-125","0","0","0"
"","","Marabout-Malin-126","Lamantin-Vigilant-126","Panda-Roux-126","0","0","0"
"","","Cerf-Éveillé-127","Serval-Responsable-127","Girafe-Star-127","0","0","0"
"","","Vautour-Amical-128","Walrus-Vigilant-128","Zèbre-Zélé-128","0","0","0"
"","","Hocco-Rayonnant-129","Panthère-Courageux-129","Jaguar-Fort-129","0","0","0"
"","","Sitatunga-Patient-130","Macaque-Solidaire-130","Baleine-Bleue-130","0","0","0"
"","","Bouvreuil-Inspiré-131","Chinchilla-Patient-131","Kangourou-Bondissant-131","0","0","0"
"","","Bouvreuil-Protecteur-132","Raton-Protecteur-132","Écureuil-Futé-132","0","0","0"
"","","Cerf-Éthique-133","Narval-Gentil-133","Cygne-Élégant-133","0","0","0"
"","","Jaguar-Rayonnant-134","Loris-Bondissant-134","Gorille-Sage-134","0","0","0"
"","","Lama-Bricoleur-135","Guépard-Attentif-135","Tortue-Rapide-135","0","0","0"
"","","Pélican-Serein-136","Cheval-Zen-136","Pivert-Hardi-136","0","0","0"
"","","Pingouin-Juste-137","Cheval-Courageux-137","Suricate-Gai-137","0","0","0"
"","","Gorille-Patient-138","Suricate-Zélé-138","Flamant-Rose-138","0","0","0"
"","","Lion-Bricoleur-139","Lion-Clairvoyant-139","Bison-Puissant-139","0","0","0"
"","","Iguane-Éveillé-140","Varan-Joyeux-140","Léopard-Vif-140","0","0","0"
"","","Élan-Optimiste-141","Bison-Attentif-141","Éléphant-Zen-141","0","0","0"
"","","Chamois-Zélé-142","Mésange-Patient-142","Raton-Laveur-142","0","0","0"
"","","Flamant-Dynamique-143","Flamant-Savoyard-143","Colibri-Flash-143","0","0","0"
"","","Morse-Intègre-144","Putois-Persévérant-144","Dauphin-Star-144","0","0","0"
"","","Marmotte-Explorateur-145","Guépard-Éthique-145","Orque-Hardi-145","0","0","0"
"","","Gecko-Attentif-146","Koala-Équilibré-146","Grizzly-Fort-146","0","0","0"
"","","Hibiscus-Zélé-147","Cheval-Vigilant-147","Marmotte-Zen-147","0","0","0"
"","","Husky-Rieuse-148","Élan-Éthique-148","Chauve-Souris-148","0","0","0"
"","","Walrus-Intègre-149","Condor-Bondissant-149","Gazelle-Rapide-149","0","0","0"
"","","Condor-Amical-150","Babouin-Curieux-150","Okapi-Mystère-150","0","0","0"
"","","Mouette-Rayonnant-151","Hippocampe-Zen-151","Lémurien-Vif-151","0","0","0"
"","","Gecko-Clairvoyant-152","Varan-Gentil-152","Alpaga-Doux-152","0","0","0"
